Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Gift of Philip Johnson,,1,,,1
"Gift of Rena Rosenthal, Inc.",2,1,,,3
Gift of Sarah Newmeyer,,1,,,1
"Gift of Swedish House, Inc.",,,1,,1
Gift of the artist,,22,,,22
Gift of the designer,4,1,1,,6
Gift of the manufacturer,1,24,13,,38
Gift of the Mayhew Shop,,,1,,1
Gift of the National Serigraph Society,,1,,,1
Gift of Thomas D. Mabry,,,2,,2
"Gift of Treitel-Gratz Co., Inc.",,1,,,1
Gift of Tristan Tzara,,1,,,1
Gift of Victor S. Riesenfeld,,113,,,113
Gift of William S. Paley (by exchange),,2,,,2
Given anonymously,,1,,,1
Inter-American Fund,,2,,,2
Mrs. Cornelius J. Sullivan Fund,1,6,,,7
Mrs. Simon Guggenheim Fund,,3,,,3
Mrs. Wendell T. Bush Fund,,1,,,1
Purchase,2,33,13,,48
Purchase Fund,,2,,,2
Roudin Fund,,1,,,1
(blank),,2,,,2
1949,45,1519,7,,1571
Abby Aldrich Rockefeller Fund,2,208,,,210
Acquired through the Lillie P. Bliss Bequest,,12,,,12
"Edgar Kaufmann, Jr. Fund",,1,2,,3
"Edgar Kaufmann, Jr. Purchase Fund",,4,,,4
Gift of A. Conger Goodyear,,1,,,1
Gift of Albert Carman,,1,,,1
Gift of Alice Paalen (Alice Radon),,1,,,1
Gift of Charles Alan,,1,,,1
Gift of Curt Valentin,,4,,,4
Gift of D. and J. de Menil,,2,,,2
Gift of Dr. F. H. Hirschland,,1,,,1
"Gift of Edgar J. Kaufmann, Jr.",,1,,,1
"Gift of Edgar Kaufmann, Jr.",,5,,,5
Gift of Edith Gregor Halpert,,1,,,1
Gift of Harry C. Oppenheimer,,1,,,1
Gift of House of Italian Handicrafts,,2,,,2
Gift of J. B. Neumann,,10,,,10
Gift of James Thrall Soby,,1,,,1
Gift of James William Reid,,2,,,2
Gift of Jean Denaiu,,2,,,2
Gift of John Pratt,,2,,,2
Gift of Justin K. Thannhauser,,2,,,2
Gift of Lincoln Kirstein,,3,,,3
Gift of Madame Hector Guimard,,14,,,14
Gift of Monroe Wheeler,,73,,,73
Gift of Mrs. Edith G. Halpert,,14,,,14
Gift of Mrs. Edith Gregor Halpert,,3,,,3
"Gift of Mrs. Frank Altschul in memory of her father, Philip J. Goodhart",,1,,,1
Gift of Mrs. Maurice J. Speiser in memory of her husband,,1,,,1
Gift of Mrs. Sadie A. May,,1,,,1
Gift of Philip L. Goodwin,,4,,,4
Gift of Pierre Matisse,,1,,,1
Gift of Printmakers,,1,,,1
Gift of Sam  A. Lewisohn,,1,,,1
Gift of Sam Salz,,1,,,1
Gift of Samuel Hume,,4,,,4
Gift of the artist,,150,,,150
Gift of the family of Blanchette Hooker Rockefeller,,1,,,1
"Gift of Walter P. Chrysler, Jr.",,25,,,25
Given anonymously,,16,,,16
Henry Church Fund,,50,,,50
Inter-American Fund,,6,,,6
Mrs. Bertram Smith Fund,,1,,,1
Mrs. Simon Guggenheim Fund,,1,,,1
Mrs. Wendell T. Bush Fund,,1,,,1
Purchase,32,686,5,,723
Purchase (by exchange),,1,,,1
Purchase Fund,3,17,,,20
Spaeth Foundation,5,10,,,15
The Louis E. Stern Collection,,4,,,4
Transferred from the Library,,1,,,1
Transferred from the Museum Library,3,160,,,163
Transferred from the Museum Library. Gift of the publisher,,1,,,1
(blank),,1,,,1
1950,18,402,25,,445
A. Conger Goodyear Fund,,6,,,6
Abby Aldrich Rockefeller Fund,,39,,,39
Acquired through the Lillie P. Bliss Bequest,,4,,,4
Alfred Stieglitz Collection. Gift of Georgia O'Keeffe,,52,,,52
"Edgar Kaufmann, Jr. Fund",,2,,,2
"Edgar Kaufmann, Jr. Purchase Fund",1,,,,1
"Gift of A. J. Van Dugteren & Sons, Inc.",,1,,,1
Gift of Abby Aldrich Rockefeller (by exchange),,1,,,1
"Gift of Arthur Brown, Inc.",,,1,,1
Gift of Bernard Davis,1,23,4,,28
Gift of Bernard Davis in memory of the artist,,1,,,1
Gift of Bonniers,1,,,,1
Gift of Curt Valentin,,5,,,5
Gift of Dr. Anny Baumann,,1,1,,2
Gift of Edward M. M. Warburg,,2,,,2
Gift of Eimer & Amend,,,2,,2
Gift of Finland Ceramics and Glass Corp.,,1,,,1
Gift of Gérald Cramer,,1,,,1
Gift of Henry R. Luce,,1,,,1
Gift of House of Italian Handicrafts,,,1,,1
Gift of James Thrall Soby,,1,,,1
Gift of Jane Sabersky,,1,,,1
Gift of Knoll Associates,,1,,,1
Gift of Leo Auerbach,1,1,,,2
Gift of Lewis & Conger,,,1,,1
Gift of Lincoln Kirstein,,1,,,1
Gift of Madame Hector Guimard,,1,,,1
Gift of Miss Renée Spodheim,,1,,,1
Gift of Mme. Wassily Kandinsky,,1,,,1
Gift of Monroe Wheeler,,13,,,13
Gift of Mr. and Mrs. Alex L. Hillman,,1,,,1
"Gift of Mr. and Mrs. Alred H. Barr, Jr.",,1,,,1
Gift of Mr. and Mrs. Felipe Orlando,,11,,,11
Gift of Mr. and Mrs. Justin K. Thannhauser,,14,,,14
Gift of Mrs. Alma Morgenthau,,1,,,1
Gift of Mrs. Charles Suydam Cutting,3,,,,3
Gift of Mrs. Marie L. Feldhaeusser,,1,,,1
Gift of Mrs. Robert Woods Bliss,,1,,,1
Gift of Mrs. Stanley B. Resor,,1,,,1
Gift of N. S. Gustin Co.,1,,,,1
Gift of Necchi Sewing Machine Sales Corp.,,1,,,1
Gift of Olivetti Corp.,,1,,,1
Gift of Philip Johnson,,17,5,,22
Gift of Philip L. Goodwin,,1,,,1
"Gift of School Prints Ltd., London",,3,,,3
"Gift of School Prints, Ltd., London",,3,,,3
Gift of Sculpture House,,,1,,1
Gift of the artist,1,,,,1
Gift of the designer,2,2,,,4
Gift of the manufacturer,1,5,8,,14
Gift of Walter A. Allner,,1,,,1
"Gift of Willoughby Camera Stores, Inc.",,,1,,1
Given anonymously,,59,,,59
"Given anonymously, in memory of Leo and Nina Stein",,1,,,1
Given in memory of Leo and Nina Stein,,2,,,2
Inter-American Fund,,1,,,1
"Jan Tschichold Collection, Gift of Philip Johnson",,1,,,1
Katharine Cornell Fund,,5,,,5
Mrs. Cornelius J. Sullivan Fund,,1,,,1
Mrs. Simon Guggenheim Fund,,3,,,3
Philip Johnson Fund,,1,,,1
Purchase,5,90,,,95
Purchase (by exchange),,1,,,1
Purchase Fund,,5,,,5
Purchase.  Conservation was made possible by the Bank of America Art Conservation Project,,1,,,1
Spaeth Foundation,1,,,,1
The William B. and Evelyn A. Jaffe Collection,,2,,,2
Transferred from Museum Library,,1,,,1
Transferred from the Museum Library,,2,,,2
1951,74,535,9,,618
A. Conger Goodyear Fund,,1,,,1
Abby Aldrich Rockefeller Fund,1,85,,,86
Acquired through the Lillie P. Bliss Bequest,,6,,,6
Commissioned by the Museum of Modern Art,,1,,,1
Gift of A. Conger Goodyear,,1,,,1
Gift of A. Hyatt Mayor,,3,,,3
Gift of Abby Aldrich Rockefeller,,1,,,1
Gift of Abby Aldrich Rockefeller (by exchange),,5,,,5
Gift of Alexander M. Bing,,1,,,1
Gift of Anders Osterlin,,1,,,1
Gift of Auguste Klipstein,,1,,,1
"Gift of Baccarat & Porthault, Inc.",,,4,,4
Gift of Bernard Gheerbrant,,3,,,3
Gift of Café Nicholson,,,1,,1
Gift of Curt Valentin,,30,,,30
Gift of D. and J. de Menil,,1,,,1
Gift of Dr. W.J.H.B. Sandberg,,1,,,1
Gift of Eastman Kodak Company,,1,,,1
"Gift of Edgar J. Kaufmann, Jr.",,1,,,1
"Gift of Edgar Kaufmann, Jr.",,4,,,4
Gift of Finland Ceramics and Glass,,,1,,1
"Gift of Georg Jensen, Inc.",,2,,,2
Gift of Guy Mayer,,2,,,2
Gift of Heinz Berggruen,,8,,,8
"Gift of Institute of Contemporary Art, London",,1,,,1
Gift of Jeanne and Jack Schonberg in memory of Morton H. Spero,,1,,,1
Gift of John Hay Whitney,,1,,,1
Gift of John Richardson,,13,,,13
Gift of Lincoln Kirstein,,1,,,1
Gift of M. and Mme. Aimé Maeght,,1,,,1
Gift of Marcel LeComte,,1,,,1
Gift of Mario da Silva,,1,,,1
Gift of Mildred Constantine,,2,,,2
Gift of Monroe Wheeler,,1,,,1
Gift of Mr. and Mrs. Charles Zadok,,1,,,1
Gift of Mr. and Mrs. David M. Solinger,,1,,,1
Gift of Mr. and Mrs. Hugo Kastor,,2,,,2
Gift of Mr. and Mrs. Lee A. Ault,,1,,,1
Gift of Mr. and Mrs. Peter A. Rübel,,3,,,3
Gift of Mr. and Mrs. Roy R. Neuberger,,2,,,2
Gift of Mrs. Bertha M. Slattery,,11,,,11
Gift of Mrs. Vahan Hagopian,,1,,,1
Gift of Museu de Arte Moderna de São Paulo,,1,,,1
Gift of Museum Publications Department,,1,,,1
Gift of Patti Garnell Cadby,,1,,,1
Gift of René d'Harnoncourt,,2,,,2
Gift of Seymour Hacker,,1,,,1
"Gift of The American Tobacco Company, Inc.",,1,,,1
Gift of the artist,1,25,1,,27
"Gift of the artist through School Prints Ltd., London",,3,,,3
Gift of the designer,64,2,,,66
Gift of the Guilde Internationale de la Gravure,,1,,,1
Gift of the manufacturer,,7,,,7
Gift of the Museum Publications Department,,1,,,1
Gift of The New York Times,,1,,,1
Gift of the Swiss Government,,11,2,,13
Gift of Tristan Tzara,,1,,,1
Gift of W.J.H.B. Sandberg,,2,,,2
Gift of Walter A. Allner,,3,,,3
Gift of William S. Lieberman,,3,,,3
Given anonymously,,18,,,18
Inter-American Fund,,4,,,4
Katharine Cornell Fund,4,4,,,8
Larry Aldrich Fund,,8,,,8
Lillie P. Bliss Collection (by exchange),,1,,,1
Mrs. Simon Guggenheim Fund,,4,,,4
Mrs. Simon Guggenheim Fund (by exchange),,2,,,2
Mrs. Wendell T. Bush Fund,,1,,,1
Purchase,2,110,,,112
Purchase (by exchange),,1,,,1
Purchase Fund,2,18,,,20
Stephen C. Clark Fund,,87,,,87
The William B. Jaffe and Evelyn A.J. Hall Collection,,1,,,1
Transferred from the Museum Library,,4,,,4
(blank),,1,,,1
1952,40,495,2,,537
A. Conger Goodyear Fund,,1,,,1
Abby Aldrich Rockefeller Fund,3,54,,,57
Acquired through the Lillie P. Bliss Bequest,,7,,,7
Gift of A. Conger Goodyear,,2,,,2
Gift of Abby Aldrich Rockefeller (by exchange),,4,,,4
Gift of Blanchette Hooker Rockefeller,,2,,,2
Gift of Boris Mirski,,1,,,1
Gift of Curt Valentin,,1,,,1
Gift of D. and J. de Menil,,1,,,1
Gift of Earle Ludgin,,1,,,1
"Gift of Edgar Kaufmann, Jr.",,29,,,29
Gift of Edward Steichen,3,1,,,4
Gift of Emilio del Junco,,1,,,1
Gift of Fraser's,17,,,,17
"Gift of Fraser's, Inc.",,1,,,1
Gift of G.E. Kidder Smith,,2,,,2
Gift of Galerie Maeght,1,8,2,,11
Gift of Grace Borgenicht,,1,,,1
"Gift of H. E. Lauffer Co., Inc.",,3,,,3
Gift of Hubert de Givenchy,,3,,,3
Gift of International Silk Association,,1,,,1
Gift of J. van Straten,,1,,,1
"Gift of John L. Senior, Jr.",,1,,,1
Gift of John Rewald,,1,,,1
Gift of Kunsthaus Zürich,,2,,,2
Gift of Larry Aldrich,,2,,,2
Gift of Ludwig Charell,,1,,,1
Gift of M. and Mme. Georges Ramié,,4,,,4
Gift of Miss Belle Kogan,,1,,,1
Gift of Miss Patti Garnell Cadby,,1,,,1
Gift of Mr. and Mrs. Allan D. Emil,,1,,,1
Gift of Mr. and Mrs. Ansley W. Sawyer,,1,,,1
Gift of Mr. and Mrs. Eugene Victor Thaw,,2,,,2
Gift of Mrs. Bertha M. Slattery,1,91,,,92
Gift of Mrs. Edith Gregor Halpert,,2,,,2
Gift of Mrs. Gertrud  A. Mellon,,1,,,1
Gift of Mrs. Sam A. Lewisohn,,2,,,2
Gift of Mrs. Theresa Parker,1,,,,1
Gift of Myrtil Frank,,1,,,1
Gift of Nelson A. Rockefeller,,1,,,1
Gift of Patti Garnell Cadby,,1,,,1
Gift of Peggy Guggenheim,,5,,,5
Gift of Philip Johnson,,2,,,2
Gift of Rio Grande Graphics,,1,,,1
Gift of T.J. Maloney,,13,,,13
Gift of the artist,,13,,,13
Gift of the Institute of Contemporary Art,,1,,,1
Gift of the manufacturer,,7,,,7
Gift of Waldron Associates,,1,,,1
Gift of Walter A. Allner,,2,,,2
Gift of Weyhe Gallery,,3,,,3
Gift of William Cohn,,1,,,1
Given anonymously,2,31,,,33
Inter-American Fund,,16,,,16
Katharine Cornell Fund,,2,,,2
Larry Aldrich Fund,,30,,,30
Mrs. Simon Guggenheim Fund,,6,,,6
Purchase,12,93,,,105
Purchase Fund,,21,,,21
Sam A. Lewisohn Bequest,,3,,,3
Transferred from the Museum Library,,1,,,1
(blank),,2,,,2
1953,16,423,28,,467
Abby Aldrich Rockefeller Fund,,2,,,2
Acquired through the Lillie P. Bliss Bequest,,17,,,17
"Edgar Kaufmann, Jr. Fund",,1,,,1
Felipe Cossio del Pomar Fund,,1,,,1
"Gift of A. J. Van Dugteren & Sons, Inc.",3,,,,3
"Gift of Alfred H. Barr, Jr.",,1,,,1
Gift of B. A. Barkai,,1,,,1
"Gift of Baccarat & Porthault, Inc.",,1,,,1
"Gift of Baker Furniture, Inc.",,1,,,1
Gift of Bloomingdale Bros. Inc.,,,1,,1
Gift of Charles Alan,,1,,,1
Gift of Cunningham & Walsh,,1,,,1
Gift of Curt Valentin,1,6,,,7
Gift of Czechoslovak Information Office,,1,,,1
Gift of Danish Information Office,,,1,,1
"Gift of Edgar Kaufmann, Jr.",,1,,,1
Gift of Elizabeth Fuller,,1,,,1
Gift of Eric Estorick,,2,,,2
Gift of Erwin Eliel,,1,,,1
Gift of Foreign Advisory Service Corp.,,1,,,1
Gift of Frank William Packard,,1,,,1
Gift of Fraser's,,3,,,3
"Gift of Fraser's, Inc.",,1,1,,2
"Gift of Georg Jensen, Inc.",,5,,,5
Gift of George Poindexter,1,,,,1
Gift of Greta Daniel,,2,4,,6
Gift of H. A. Mack & Co. Inc.,,,1,,1
Gift of Helena Rubinstein,,1,,,1
Gift of James Thrall Soby,,2,,,2
Gift of Loula D. Lasker,1,,,,1
Gift of Macy's,,1,,,1
Gift of Marshall Field & Co.,1,,,,1
Gift of Mme Helena Rubinstein,,3,,,3
Gift of Mme. Helena Rubinstein,,1,,,1
Gift of Mr. and Mrs. Albert Lewin,,1,,,1
"Gift of Mr. and Mrs. Alfred Jaretzki, Jr.",,1,,,1
Gift of Mr. and Mrs. David M. Solinger,,1,,,1
Gift of Mr. and Mrs. Edward F. Kook,,1,,,1
Gift of Mr. and Mrs. Eugene Victor Thaw,,1,,,1
Gift of Mr. and Mrs. Leo Lionni,,1,,,1
Gift of Mr. and Mrs. Roy R. Neuberger,,1,,,1
Gift of Mr. and Mrs. Walter Bareiss,,1,,,1
Gift of Mrs. Alfred A. Knopf,,1,,,1
Gift of Mrs. Edith Gregor Halpert,,4,,,4
Gift of Mrs. Frances Raftery,,1,,,1
Gift of Mrs. Gertrud A. Mellon,,1,,,1
Gift of Mrs. Hazel McKinley,,22,,,22
Gift of Mrs. J. Frederic Byers,,,1,,1
Gift of Mrs. L. A. Arkus,,1,,,1
Gift of Mrs. L. H. Grunebaum,,1,,,1
Gift of Mrs. Sam A. Lewisohn,,1,,,1
Gift of Mrs. Stanley Resor,,1,,,1
Gift of Olivetti Co.,,2,,,2
Gift of Olivetti Corp.,,2,,,2
Gift of Paul Herzog,,1,,,1
Gift of Philip Johnson,,2,3,,5
Gift of Polish Information Office,,,1,,1
Gift of Rose Fried,,2,,,2
Gift of Sam Salz,,2,,,2
Gift of Silvia Pizitz,,1,,,1
Gift of Stephen C. Clark,,1,,,1
Gift of the American Cancer Society,,1,,,1
Gift of the architect,,1,,,1
Gift of the artist,1,42,10,,53
Gift of the Czechoslovak Information Office,,2,,,2
Gift of the designer,2,3,,,5
"Gift of the Galerie de France, Paris",,1,,,1
Gift of the Junior Council,,1,,,1
"Gift of the Kunstmuseum, Zürich",,,3,,3
Gift of the manufacturer,,6,1,,7
Gift of the Olivetti Corporation,,1,,,1
Gift of the photographer,,48,,,48
Gift of the Polish Information Office,,,1,,1
Gift of the Polish Information Service,,1,,,1
Gift of the Royal Society for the Prevention of Accidents,,3,,,3
Gift of the Stedelijk Museum Amsterdam,,1,,,1
"Gift of the Stedelijk Museum, Amsterdam",,1,,,1
Gift of Time Inc.,,1,,,1
"Gift of Time, Inc.",,1,,,1
Gift of Upton Sinclair,,1,,,1
Gift of W.J.H.B. Sandberg,,1,,,1
Given anonymously,,29,,,29
Inter-American Fund,,2,,,2
Katharine S. Dreier Bequest,,1,,,1
Katherine S. Dreier Bequest,,64,,,64
Larry Aldrich Fund,,49,,,49
Mrs. Cornelius J. Sullivan Fund,,2,,,2
Mrs. Sadie A. May Fund,,1,,,1
Mrs. Simon Guggenheim Fund,,1,,,1
Mrs. Wendell T. Bush Fund,,2,,,2
Purchase,6,32,,,38
Purchase (by exchange),,1,,,1
Purchase Fund,,2,,,2
The Katherine S. Dreier Bequest,,1,,,1
Transferred from the Museum Library,,2,,,2
Transferred from The Museum of Modern Art Publications Department,,2,,,2
(blank),,2,,,2
1954,26,791,22,,839
A. Conger Goodyear Fund,,1,,,1
Abby Aldrich Rockefeller Fund,,13,,,13
Acquired through the Lillie P. Bliss Bequest,,1,,,1
Alfred Flechtheim Fund,1,1,,,2
Anonymous Gift,,3,,,3
"Anonymous gift
",1,,,,1
Blanchette Hooker Rockefeller Fund,,2,,,2
Department Purchase,1,,,,1
Francis E. Brennan Fund,,1,,,1
Gift of A. Conger Goodyear,1,10,4,,15
"Gift of A. J. Van Dugteren & Sons, Inc.",,5,,,5
Gift of Abby Aldrich Rockefeller,,14,,,14
Gift of Abby Aldrich Rockefeller (by exchange),,14,,,14
Gift of Albert Dorne,1,,,,1
Gift of Alexander and Elna C. Boecker,,2,,,2
Gift of Allen Porter,,1,,,1
"Gift of Amerika Haus, Germany",,,1,,1
Gift of Blanchette Hooker Rockefeller,2,4,,,6
Gift of Carl Sandburg,,,2,,2
Gift of Curt Valentin,,3,,,3
Gift of D. and J. de Menil,,1,,,1
"Gift of Doyle, Dane, Bernbach Agency",,2,,,2
Gift of Dr. and Mrs. Arthur Lejwa,,2,,,2
Gift of Dr. W. Andrew Archer,,19,,,19
"Gift of Edgar Kaufmann, Jr.",,2,,,2
Gift of Edith Gregor Halpert,,1,,,1
Gift of Edward Steichen,,3,,,3
Gift of G. David Thompson,,1,,,1
Gift of Galerie de France,,1,,,1
"Gift of Georg Jensen, Inc.",,1,,,1
Gift of Georgia O'Keeffe,1,9,,,10
Gift of Heinz Berggruen,,1,,,1
"Gift of Henry Russell Hitchcock, Jr.",,1,,,1
"Gift of James Laughlin, 4th",,13,,,13
Gift of James Lord,,1,,,1
Gift of James Mulvey,,1,,,1
Gift of John Rewald,,1,,,1
"Gift of Josiah Wedgwood & Sons, Inc. of America",,5,,,5
Gift of Knoll Associates,,1,,,1
Gift of Leni Matthaei,1,,,,1
Gift of Leo Pavelle,1,,,,1
Gift of Life Magazine,,5,,,5
Gift of Lincoln Kirstein,,2,,,2
Gift of Louis Carré,,1,,,1
Gift of Ludwig Charell,,1,,,1
"Gift of Magnum Photos, Inc.",,1,,,1
"Gift of Mayhew-Copley, Ltd.",,,2,,2
Gift of Miss Caroline Burke,,1,,,1
Gift of Monroe Wheeler,,1,,,1
Gift of Mr. and Mrs. David Keppel,,3,,,3
Gift of Mr. and Mrs. E. Powis Jones,,66,,,66
Gift of Mr. and Mrs. Eugene Victor Thaw,,5,,,5
Gift of Mr. and Mrs. Irvin Shapiro,,1,,,1
Gift of Mr. and Mrs. Leo Lionni,,1,,,1
Gift of Mr. and Mrs. Peter A. Rübel,,4,,,4
Gift of Mr. and Mrs. Ralph F. Colin,,1,,,1
Gift of Mr. and Mrs. Wallace Everette Pratt,,1,,,1
Gift of Mr. and Mrs. Walter Bareiss,,1,,,1
"Gift of Mrs. Alfred H. Barr, Jr.",,1,,,1
Gift of Mrs. Amy Goldin,,4,,,4
Gift of Mrs. Bertha M. Slattery,,9,,,9
Gift of Mrs. Claire Drexler,,1,,,1
Gift of Mrs. Donald B. Straus,,4,,,4
Gift of Mrs. Gertrud A. Mellon,,2,,,2
Gift of Mrs. Gilbert W. Chapman,,1,,,1
Gift of Mrs. Niles Spencer,,1,,,1
Gift of Mrs. Stanley Resor,,2,,,2
Gift of Mrs. W. Murray Crane,,2,,,2
Gift of Nelson A. Rockefeller,,2,,,2
Gift of Norbert Schimnel,,1,,,1
Gift of Peter H. Deitsch,,6,,,6
Gift of Philip L. Goodwin,,1,,,1
Gift of Ralph O. Smith Co.,1,,,,1
Gift of Richard S. Zeisler,,1,,,1
Gift of Sam Salz,,1,,,1
Gift of Samuel A. Berger,,104,,,104
Gift of the American Cancer Society,,6,,,6
Gift of the artist,,36,,,36
"Gift of The Condé Nast Publications, Inc.",,2,,,2
Gift of the designer,,1,,,1
Gift of the Education Department,,8,,,8
Gift of the Farm Security Administration,,1,,,1
"Gift of the Gramercy Park Foundation, Inc.",,1,,,1
Gift of the International Graphic Arts Society,,9,,,9
"Gift of the International Graphic Arts Society, New York",,1,,,1
Gift of the Japan Society,,5,,,5
Gift of the Junior Council,,1,1,,2
Gift of the London Transport Co,,1,,,1
Gift of the manufacturer,,4,4,,8
Gift of the Nebraska Historical Society,,7,,,7
Gift of the New Gallery,,1,,,1
Gift of the Olivetti Corporation,,1,,,1
Gift of the Passedoit Gallery,,1,,,1
Gift of the photographer,1,7,,,8
Gift of the Weyhe Gallery,,1,,,1
"Gift of the Weyhe Gallery, N.Y",,1,,,1
Gift of the Willard Gallery,,1,,,1
"Gift of Time, Inc.",,2,,,2
Gift of Victor S. Riesenfeld,,1,,,1
Gift of Waertsila Corp.,,1,,,1
Gift of Waertsila Corporation,,1,,,1
Gift of Ward Jackson,,1,,,1
Gift of William H. Schab,,1,,,1
Gift of William Rubin,,3,,,3
Given anonymously,1,63,1,,65
Given anonymously (by exchange),,4,,,4
Hillman Periodicals Fund,,2,,,2
Inter-American Fund,1,29,,,30
Japanese House Fund,,6,,,6
Katharine Cornell Fund,,1,,,1
Katherine Cornell Fund,,1,,,1
Katherine S. Dreier Bequest,,1,,,1
Larry Aldrich Fund,3,104,2,,109
Matthew T. Mellon Foundation Fund,,1,,,1
"Mr. and Mrs. A. Atwater Kent, Jr. Fund",,1,,,1
Mr. and Mrs. David M. Solinger Fund,,1,,,1
Mr. and Mrs. E. Powis Jones Fund,,3,,,3
Mr. and Mrs. Roy R. Neuberger Fund,1,,,,1
Mrs. Sam A. Lewisohn Bequest,,2,,,2
Mrs. Simon Guggenheim Fund,,4,,,4
Purchase,5,64,3,,72
Purchase (by exchange),,3,,,3
Purchase Fund,3,4,1,,8
Rose Gershwin Fund,,1,,,1
Stephen C. Clark Fund (by exchange),,3,,,3
Vladimir Horowitz and Bernard Davis Funds,,1,,,1
W. Alton Jones Foundation Fund,,1,,,1
William S. Paley Collection,,1,,,1
(blank),,5,1,,6
1955,10,403,9,,422
A. Conger Goodyear Fund,,6,,,6
A. Conger Goodyear Fund (by exchange),,2,,,2
Abby Aldrich Rockefeller Fund,,17,,,17
Abby Aldrich Rockefeller Fund (by exchange),,1,,,1
Acquired through the Lillie P. Bliss Bequest,,1,,,1
Benjamin Scharps and David Scharps Fund,,1,,,1
Bertram F. and Susie Brummer Foundation Fund,,1,,,1
Blanchette Hooker Rockefeller Fund,,1,,,1
Curt Valentin Bequest,,25,,,25
Fractional gift of Mr. and Mrs. David Rockefeller,,1,,,1
From the collection of Mary Louise Reynolds,1,,,,1
George F. Bauerdorf Fund,,2,,,2
Gertrud A. Mellon Fund,,2,,,2
"Gift of ""Sources""",,1,,,1
Gift of A. Conger Goodyear,,1,,,1
Gift of Abby Aldrich Rockefeller (by exchange),,20,,,20
Gift of Albert Dorne,1,,,,1
Gift of Armand G. Erpf,,1,,,1
Gift of Berggruen & Cie,,1,1,,2
Gift of Blanchette Hooker Rockefeller,,6,,,6
Gift of Bonniers,,1,,,1
"Gift of Bonniers, Inc.",,1,,,1
Gift of CBS Radio,,1,,,1
Gift of Charlotte Berend-Corinth,,3,,,3
Gift of Curt Valentin,,2,,,2
Gift of D. and J. de Menil,,1,,,1
Gift of Dr. W. R. Valentiner,,1,,,1
Gift of Edwin M. Otterbourg,,1,,,1
"Gift of Fraser's, Inc.",,1,,,1
Gift of Galerie Maeght,,1,,,1
Gift of Georg Jensen,,1,,,1
Gift of George F. Bauerdorf Fund,,1,,,1
Gift of Grace Borgenicht,,1,,,1
Gift of Grace Borgenicht (Fund),,1,,,1
Gift of Harold Davis,,1,,,1
Gift of Henry Russell Hitchcock,,14,,,14
Gift of J. B. Neumann,,2,,,2
Gift of J.B. Neumann,,1,,,1
Gift of Joseph H. Hirshhorn,,1,,,1
Gift of Julia Feininger,,3,,,3
Gift of Karl Fortess,,1,,,1
Gift of Lotte Jacobi,,3,,,3
Gift of Ludwig Charell,,3,,,3
Gift of Miss Ann C. Resor,,1,,,1
Gift of Miss Elena Longo,,1,,,1
Gift of Miss Rose Fried,,1,,,1
Gift of Mourlot,,1,,,1
Gift of Mr. & Mrs. E. Powis Jones,,1,,,1
Gift of Mr. and Mrs. André Emmerich,,1,,,1
Gift of Mr. and Mrs. Armand P. Bartos,,1,,,1
Gift of Mr. and Mrs. Carroll Cartwright,,2,,,2
Gift of Mr. and Mrs. Charles Zadok,,1,,,1
Gift of Mr. and Mrs. E. Powis Jones,,5,,,5
